location,date,sample,density,quantity
Limmat_Zuerich_WagnerC,2017-06-30,3.0,1.686,59.0
Limmat_Zuerich_WagnerC,2017-07-27,4.0,0.086,3.0
Limmat_Zuerich_WagnerC,2017-08-31,5.0,0.257,9.0
Limmat_Zuerich_WagnerC,2017-10-07,6.0,0.114,4.0
Limmat_Zuerich_WagnerC,2017-11-03,7.0,0.6,21.0
Limmat_Zuerich_WagnerC,2017-12-31,8.0,0.314,11.0
limmat_zürich_mortensena_meiera,2017-05-04,1.0,1.586,46.0
limmat_zürich_mortensena_meiera,2017-06-23,2.0,11.138,323.0
limmat_zürich_mortensena_meiera,2017-08-07,3.0,1.345,39.0
Lorze_Baar_BlarerE,2017-04-07,1.0,1.324,45.0
Lorze_Baar_BlarerE,2017-05-06,2.0,0.941,32.0
Lorze_Baar_BlarerE,2017-06-02,3.0,0.853,29.0
Lorze_Baar_BlarerE,2017-07-08,4.0,0.706,24.0
Lorze_Baar_BlarerE,2017-08-06,5.0,0.882,30.0
Lorze_Baar_BlarerE,2017-09-10,6.0,0.676,23.0
Lorze_Baar_BlarerE,2017-10-21,7.0,0.353,12.0
Lorze_Baar_BlarerE,2017-11-04,8.0,0.794,27.0
Lorze_Baar_BlarerE,2017-12-23,9.0,0.324,11.0
Lorze_Baar_BlarerE,2018-01-20,10.0,0.5,17.0
Lorze_Baar_BlarerE,2018-02-10,11.0,0.441,15.0
lötschebach_bern_scheurerk,2017-05-21,1.0,0.269,46.0
lötschebach_bern_scheurerk,2017-07-09,2.0,0.012,2.0
lötschebach_bern_scheurerk,2017-08-26,3.0,0.053,9.0
lötschebach_bern_scheurerk,2017-09-17,4.0,0.0,0.0
lötschebach_bern_scheurerk,2017-11-22,5.0,0.029,5.0
lötschebach_bern_scheurerk,2018-01-29,6.0,0.123,21.0
lötschebach_bern_scheurerk,2018-02-20,7.0,0.07,12.0
Mammern swisslitterreport,2017-04-08,1.0,0.24,90.0
Mammern swisslitterreport,2017-06-15,2.0,0.581,218.0
Mammern swisslitterreport,2017-07-24,3.0,0.32,120.0
Mammern swisslitterreport,2017-08-26,4.0,0.568,213.0
Mammern swisslitterreport,2017-10-30,5.0,0.149,56.0
Mammern swisslitterreport,2017-11-04,6.0,0.061,23.0
Mammern swisslitterreport,2018-01-01,7.0,0.035,13.0
Mammern swisslitterreport,2018-02-03,8.0,0.061,23.0
Murg_Waengi_StrickerR,2017-04-15,1.0,0.769,10.0
Murg_Waengi_StrickerR,2017-06-20,2.0,0.077,1.0
Murg_Waengi_StrickerR,2017-07-15,3.0,0.077,1.0
Murg_Waengi_StrickerR,2017-08-22,4.0,0.462,6.0
Murg_Waengi_StrickerR,2017-09-22,5.0,,
Murg_Waengi_StrickerR,2017-10-19,6.0,,
Murg_Waengi_StrickerR,2017-11-20,7.0,0.462,6.0
