,date,density,location_id,project_id,quantity,sample
311,2018-01-19,0.2471,Lacléman_Gland_LecoanetS,SLR,21,7.0
312,2018-02-19,0.1176,Lacléman_Gland_LecoanetS,SLR,10,8.0
313,2018-03-18,3.9765,Lacléman_Gland_LecoanetS,SLR,338,9.0
314,2017-05-19,28.4333,LacLéman_La Tour-de-Peilz_bain des dames_Hammerdirt,SLR,853,1.0
315,2017-04-30,11.7407,lacléman_vidy_santie,SLR,317,1.0
316,2017-05-23,18.5926,lacléman_vidy_santie,SLR,502,2.0
317,2017-06-16,13.7037,lacléman_vidy_santie,SLR,370,3.0
318,2017-07-21,8.5556,lacléman_vidy_santie,SLR,231,4.0
319,2017-08-25,10.0741,lacléman_vidy_santie,SLR,272,5.0
320,2017-09-26,6.2222,lacléman_vidy_santie,SLR,168,6.0
321,2017-10-24,4.0,lacléman_vidy_santie,SLR,108,7.0
322,2017-11-17,2.8889,lacléman_vidy_santie,SLR,78,8.0
323,2017-12-26,3.3333,lacléman_vidy_santie,SLR,90,9.0
324,2018-01-23,6.4815,lacléman_vidy_santie,SLR,175,10.0
325,2018-02-26,7.6667,lacléman_vidy_santie,SLR,207,11.0
326,2018-03-26,9.2222,lacléman_vidy_santie,SLR,249,12.0
327,2017-04-24,4.3571,langete_langenthal_geiserm,SLR,61,1.0
328,2017-05-24,1.9286,langete_langenthal_geiserm,SLR,27,2.0
329,2017-06-22,2.0,langete_langenthal_geiserm,SLR,28,3.0
330,2017-07-24,2.8571,langete_langenthal_geiserm,SLR,40,4.0
331,2017-08-21,2.0714,langete_langenthal_geiserm,SLR,29,5.0
332,2017-09-21,1.2143,langete_langenthal_geiserm,SLR,17,6.0
333,2017-10-25,0.8571,langete_langenthal_geiserm,SLR,12,7.0
334,2017-11-22,1.5714,langete_langenthal_geiserm,SLR,22,8.0
335,2018-01-30,1.3571,langete_langenthal_geiserm,SLR,19,9.0
336,2018-02-27,1.7143,langete_langenthal_geiserm,SLR,24,10.0
337,2018-03-30,1.5714,langete_langenthal_geiserm,SLR,22,11.0
338,2017-05-27,2.4677,limmat_dietikon_keiserp,SLR,153,1.0
339,2017-06-26,3.7903,limmat_dietikon_keiserp,SLR,235,2.0
340,2017-08-03,1.5645,limmat_dietikon_keiserp,SLR,97,3.0
341,2017-09-30,0.5806,limmat_dietikon_keiserp,SLR,36,4.0
342,2017-10-28,0.6452,limmat_dietikon_keiserp,SLR,40,5.0
343,2017-11-27,0.5,limmat_dietikon_keiserp,SLR,31,6.0
344,2017-12-29,0.5645,limmat_dietikon_keiserp,SLR,35,7.0
345,2018-01-29,0.8065,limmat_dietikon_keiserp,SLR,50,8.0
346,2018-03-29,1.4839,limmat_dietikon_keiserp,SLR,92,9.0
347,2017-04-23,1.2143,Limmat_Unterengstringen_OggierBührer,SLR,34,1.0
348,2017-05-09,0.9286,Limmat_Unterengstringen_OggierBührer,SLR,26,2.0
349,2017-06-14,0.8929,Limmat_Unterengstringen_OggierBührer,SLR,25,3.0
350,2017-07-15,1.1786,Limmat_Unterengstringen_OggierBührer,SLR,33,4.0
351,2017-08-09,1.2143,Limmat_Unterengstringen_OggierBührer,SLR,34,5.0
352,2017-09-24,0.6071,Limmat_Unterengstringen_OggierBührer,SLR,17,6.0
353,2017-10-16,0.2857,Limmat_Unterengstringen_OggierBührer,SLR,8,7.0
354,2017-11-30,0.1071,Limmat_Unterengstringen_OggierBührer,SLR,3,8.0
355,2017-12-27,1.1071,Limmat_Unterengstringen_OggierBührer,SLR,31,9.0
356,2018-01-19,0.8214,Limmat_Unterengstringen_OggierBührer,SLR,23,10.0
357,2018-02-14,0.25,Limmat_Unterengstringen_OggierBührer,SLR,7,11.0
