location,date,length,quantity,density,code
Aare_Brugg_BuchiE,2017-05-08,20,2,0.1,G30
Aare_Brugg_BuchiE,2017-05-08,20,4,0.2,G67
Aare_Brugg_BuchiE,2017-05-08,20,3,0.15,G79
Aare_Brugg_BuchiE,2017-05-08,20,1,0.05,G134
Aare_Brugg_BuchiE,2017-05-08,20,1,0.05,G151
Aare_Brugg_BuchiE,2017-05-08,20,1,0.05,G156
Aare_Brugg_BuchiE,2017-05-08,20,5,0.25,G177
Aare_Brugg_BuchiE,2017-05-08,20,1,0.05,G178
Aare_Brugg_BuchiE,2017-06-13,20,1,0.05,G25
Aare_Brugg_BuchiE,2017-06-13,20,12,0.6,G27
Aare_Brugg_BuchiE,2017-06-13,20,3,0.15,G79
Aare_Brugg_BuchiE,2017-06-13,20,1,0.05,G152
Aare_Brugg_BuchiE,2017-06-13,20,5,0.25,G158
Aare_Brugg_BuchiE,2017-06-13,20,1,0.05,G175
Aare_Brugg_BuchiE,2017-06-13,20,1,0.05,G177
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G7
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G23
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G25
Aare_Brugg_BuchiE,2017-07-20,20,31,1.55,G27
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G30
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G50
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G95
Aare_Brugg_BuchiE,2017-07-20,20,2,0.1,G124
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G134
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G145
Aare_Brugg_BuchiE,2017-07-20,20,1,0.05,G152
Aare_Brugg_BuchiE,2017-07-20,20,4,0.2,G156
Aare_Brugg_BuchiE,2017-07-20,20,4,0.2,G175
Aare_Brugg_BuchiE,2017-08-26,20,1,0.05,G3
Aare_Brugg_BuchiE,2017-08-26,20,2,0.1,G25
Aare_Brugg_BuchiE,2017-08-26,20,52,2.6,G27
Aare_Brugg_BuchiE,2017-08-26,20,1,0.05,G50
Aare_Brugg_BuchiE,2017-08-26,20,1,0.05,G66
Aare_Brugg_BuchiE,2017-08-26,20,1,0.05,G89
Aare_Brugg_BuchiE,2017-08-26,20,3,0.15,G124
Aare_Brugg_BuchiE,2017-08-26,20,7,0.35,G156
Aare_Brugg_BuchiE,2017-08-26,20,1,0.05,G175
Aare_Brugg_BuchiE,2017-09-25,20,15,0.75,G27
Aare_Brugg_BuchiE,2017-09-25,20,1,0.05,G30
