location,date,sample,density,quantity
Limmat_Zuerich_JansenA,2017-12-14,9,0.13,7
Limmat_Zuerich_JansenA,2018-01-17,10,0.037,2
Limmat_Zuerich_JansenA,2018-02-13,11,0.0,0
Limmat_Zuerich_JansenA,2018-03-15,12,0.111,6
limmat_zuerich_suterd&glauserp,2017-04-10,1,2.976,125
limmat_zuerich_suterd&glauserp,2017-05-16,2,0.524,22
limmat_zuerich_suterd&glauserp,2017-06-14,3,3.524,148
limmat_zuerich_suterd&glauserp,2017-07-12,4,4.69,197
limmat_zuerich_suterd&glauserp,2017-08-21,5,1.548,65
limmat_zuerich_suterd&glauserp,2017-09-26,6,0.571,24
limmat_zuerich_suterd&glauserp,2017-10-18,7,0.5,21
limmat_zuerich_suterd&glauserp,2017-11-23,8,0.238,10
limmat_zuerich_suterd&glauserp,2017-12-21,9,0.143,6
limmat_zuerich_suterd&glauserp,2018-02-24,10,0.476,20
limmat_zuerich_suterd&glauserp,2018-03-24,11,1.143,48
Limmat_Zuerich_WagnerC,2017-04-30,1,0.514,18
Limmat_Zuerich_WagnerC,2017-05-30,2,1.086,38
Limmat_Zuerich_WagnerC,2017-06-30,3,1.686,59
Limmat_Zuerich_WagnerC,2017-07-27,4,0.086,3
Limmat_Zuerich_WagnerC,2017-08-31,5,0.257,9
Limmat_Zuerich_WagnerC,2017-10-07,6,0.114,4
Limmat_Zuerich_WagnerC,2017-11-03,7,0.6,21
Limmat_Zuerich_WagnerC,2017-12-31,8,0.314,11
Limmat_Zuerich_WagnerC,2018-03-30,9,0.657,23
Lorze_Baar_BlarerE,2017-04-07,1,1.324,45
Lorze_Baar_BlarerE,2017-05-06,2,0.941,32
Lorze_Baar_BlarerE,2017-06-02,3,0.853,29
Lorze_Baar_BlarerE,2017-07-08,4,0.706,24
Lorze_Baar_BlarerE,2017-08-06,5,0.882,30
Lorze_Baar_BlarerE,2017-09-10,6,0.676,23
Lorze_Baar_BlarerE,2017-10-21,7,0.353,12
Lorze_Baar_BlarerE,2017-11-04,8,0.794,27
Lorze_Baar_BlarerE,2017-12-23,9,0.324,11
Lorze_Baar_BlarerE,2018-01-20,10,0.5,17
Lorze_Baar_BlarerE,2018-02-10,11,0.441,15
Lorze_Baar_BlarerE,2018-03-10,12,1.324,45
lötschebach_bern_scheurerk,2017-05-21,1,0.269,46
lötschebach_bern_scheurerk,2017-07-09,2,0.012,2
lötschebach_bern_scheurerk,2017-08-26,3,0.053,9
lötschebach_bern_scheurerk,2017-11-22,4,0.029,5
lötschebach_bern_scheurerk,2018-01-29,5,0.123,21
lötschebach_bern_scheurerk,2018-02-20,6,0.07,12
lötschebach_bern_scheurerk,2018-03-14,7,0.088,15
Mammern swisslitterreport,2017-04-08,1,0.24,90
Mammern swisslitterreport,2017-06-15,2,0.581,218
Mammern swisslitterreport,2017-07-24,3,0.32,120
Mammern swisslitterreport,2017-08-26,4,0.568,213
Mammern swisslitterreport,2017-10-30,5,0.149,56
Mammern swisslitterreport,2017-11-04,6,0.061,23
Mammern swisslitterreport,2018-01-01,7,0.035,13
Mammern swisslitterreport,2018-02-03,8,0.061,23
Murg_Waengi_StrickerR,2017-04-15,1,0.769,10
Murg_Waengi_StrickerR,2017-06-20,2,0.077,1
Murg_Waengi_StrickerR,2017-07-15,3,0.077,1
Murg_Waengi_StrickerR,2017-08-22,4,0.462,6
Murg_Waengi_StrickerR,2017-09-22,5,0.0,0
Murg_Waengi_StrickerR,2017-10-19,6,0.0,0
Murg_Waengi_StrickerR,2017-11-20,7,0.462,6
Murg_Waengi_StrickerR,2017-12-27,8,0.308,4
Murg_Waengi_StrickerR,2018-01-28,9,0.462,6
Murg_Waengi_StrickerR,2018-02-26,10,0.231,3
Murg_Waengi_StrickerR,2018-03-22,11,0.154,2
Neuenburgersee_Cudrefin_MatterA,2017-04-07,1,2.6,26
Neuenburgersee_Cudrefin_MatterA,2017-05-28,2,2.7,27
Neuenburgersee_Cudrefin_MatterA,2017-06-25,3,2.6,26
Neuenburgersee_Cudrefin_MatterA,2017-07-29,4,2.1,21
Neuenburgersee_Cudrefin_MatterA,2017-08-20,5,1.9,19
Neuenburgersee_Cudrefin_MatterA,2017-09-24,6,3.0,30
Neuenburgersee_Cudrefin_MatterA,2017-10-28,7,2.3,23
Neuenburgersee_Cudrefin_MatterA,2017-12-17,8,2.1,21
Pfaffner_Rothrist_Ischik,2017-04-08,1,2.714,38
Pfaffner_Rothrist_Ischik,2017-05-30,2,1.143,16
Pfaffner_Rothrist_Ischik,2017-06-22,3,0.5,7
Pfaffner_Rothrist_Ischik,2017-07-17,4,0.357,5
Pfaffner_Rothrist_Ischik,2017-08-28,5,0.643,9
Pfaffner_Rothrist_Ischik,2017-09-24,6,0.286,4
Reuss,2017-04-24,1,0.25,1
reuss_hünenberg_eberhardy,2017-04-10,1,1.607,45
reuss_hünenberg_eberhardy,2017-05-09,2,1.179,33
reuss_hünenberg_eberhardy,2017-06-12,3,1.214,34
reuss_hünenberg_eberhardy,2017-07-09,4,0.964,27
reuss_hünenberg_eberhardy,2017-08-23,5,1.536,43
reuss_hünenberg_eberhardy,2017-09-20,6,0.321,9
reuss_hünenberg_eberhardy,2017-10-31,7,0.357,10
reuss_hünenberg_eberhardy,2017-11-18,8,0.25,7
reuss_hünenberg_eberhardy,2017-12-31,9,0.821,23
reuss_hünenberg_eberhardy,2018-01-31,10,1.143,32
reuss_hünenberg_eberhardy,2018-02-26,11,0.214,6
reuss_hünenberg_eberhardy,2018-03-19,12,0.75,21
reuss_ottenbach_schoenenbergerl,2017-04-27,1,1.818,20
reuss_ottenbach_schoenenbergerl,2017-05-28,2,3.364,37
reuss_ottenbach_schoenenbergerl,2017-06-24,3,4.091,45
reuss_ottenbach_schoenenbergerl,2017-07-30,4,3.818,42
reuss_ottenbach_schoenenbergerl,2017-08-27,5,2.364,26
reuss_ottenbach_schoenenbergerl,2017-09-25,6,0.909,10
reuss_ottenbach_schoenenbergerl,2017-10-29,7,0.545,6
reuss_ottenbach_schoenenbergerl,2017-11-26,8,0.273,3
